"","score","votes","budget","gross","runtime","profit_m","roi"
"nbr.val",7474,7474,7474,7474,7474,7474,7474
"nbr.null",0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0
"min",1.9,34,6000,309,63,-158.03,-100
"max",9.3,2400000,3.56e+08,2847246203,366,2610.25,1288938.67
"range",7.4,2399966,355994000,2847245894,303,2768.28,1289038.66
"sum",47825.1,674144782,238028184119,586822798338,803067,348794.61,3036182.67
"median",6.5,34000,1.7e+07,20207126.5,104,2.4,18.4
"mean",6.4,90198.66,31847495.87,78515225.89,107.45,46.67,406.23
"SE.mean",0.01,1906.83,422930.71,1917381.84,0.21,1.63,181.38
"CI.mean.0.95",0.02,3737.92,829063.25,3758608.12,0.42,3.2,355.56
"var",0.93,27175346149.89,1336877286614620,27477063292037680,342.77,19870.09,245890116.75
"std.dev",0.96,164849.47,36563332.54,165762068.31,18.51,140.96,15680.88
"coef.var",0.15,1.83,1.15,2.11,0.17,3.02,38.6
