genre,n_films,score_moy,budget_moy_m,gross_moy_m,roi_moy
Comedy,2191,6.2,21,44.4,171.5
Action,1672,6.21,55.6,145.6,157.1
Drama,1467,6.7,19.9,39,142.1
Crime,542,6.68,20.6,39.4,88.6
Biography,433,7.04,23.9,47.9,114.3
Adventure,420,6.3,41.3,109.3,165.8
Animation,334,6.77,75,239.2,240.9
Horror,306,5.79,12.5,47.5,6281.8
Fantasy,43,6.01,16.7,38.7,149.2
Mystery,20,6.66,30.7,101.2,142.5
Thriller,12,6.03,10.8,26.9,177.7
Family,11,6.36,29.4,196.2,713.1
Romance,8,6.5,23.3,23.5,-30.5
Sci-Fi,8,6.39,21.6,32.6,83.1
Western,3,5.67,10.5,10.7,4.3
Musical,2,8.05,20.5,2.6,-87.3
Music,1,7.2,20.5,0.1,-99.5
Sport,1,5.9,20.5,1.1,-94.8
